observationId,metricId,valueDate,value,unit,sourceDefinitionId,releaseAvailableAt,revisionSequence,supersedesObservationId,rawArtifactId
obs-pbc-899a4fb9e1b3b5137c47fb31d2aae86e32c47f13fdc73287b7477e931d59f139,MACRO_AFRE_STOCK_BALANCE,2018-02,181.4317,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-1bbf0ed3df788fbe4666fc9880a700cbe3e136315f847c170ea9e61eb4a8abfc,artifact-r2-d0d2e5326fbc6def84d0f450dee7d6e50b1a9ae4ee794fba34a8e7a551737acd
obs-pbc-6eb5c5e90064ec8c62bf003468c83360fd15faee937c5e3861789a5a92c8ad37,MACRO_AFRE_STOCK_BALANCE,2018-02,186.92440000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-899a4fb9e1b3b5137c47fb31d2aae86e32c47f13fdc73287b7477e931d59f139,artifact-r2-e62ee7706a83f72119603a17c09228dd8345f07802af1d05be934c385b27e21b
obs-pbc-a4228199c877ff51a5f1e4e4cb55ef28d06d7f39ee920f0044d956eebced8657,MACRO_AFRE_STOCK_BALANCE,2018-02,187.3698,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-6eb5c5e90064ec8c62bf003468c83360fd15faee937c5e3861789a5a92c8ad37,artifact-r2-99260c5fd29d64214d2e562e5f7377463879b50b9dbac6e94e8265410f157fa1
obs-pbc-8e9d82b49bee4d21bffad12c4205fa2d259ac88e31dcb9aa6ae8bdf026f82c38,MACRO_AFRE_STOCK_BALANCE,2018-03,182.8124,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-c226c9c01c77fff6b8e8a03aefb1bcf4f1fba2105817abf3fdde5c980d5c4cd1,artifact-r2-2acb170d6ebd3eebf04b35728ebd60bfc7ea91446f6c7b90a47f0151b36cd995
obs-pbc-cfe6caadf1410b6bfd6129f2d8c11b5994be8fc73ce47684b2ca203b29ff138d,MACRO_AFRE_STOCK_BALANCE,2018-03,188.37130000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-8e9d82b49bee4d21bffad12c4205fa2d259ac88e31dcb9aa6ae8bdf026f82c38,artifact-r2-10f36387e82aff779917f5f8dd346b5a10ad4c55ed0050d92ccf179196dce23c
obs-pbc-59671c6fa7a9ce7d51512e4d326a2bd7146ef3a07bfe4c1bbce79a11629e9386,MACRO_AFRE_STOCK_BALANCE,2018-03,188.82420000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-cfe6caadf1410b6bfd6129f2d8c11b5994be8fc73ce47684b2ca203b29ff138d,artifact-r2-a9e759327d747e62b8e5a97d458b455cb7da20c5451198c850c8fc051c649090
obs-pbc-88d9a4c0ba4ff1b65234416e14cc4640ffaf72857bf3d66892eb4a6ac626c0aa,MACRO_AFRE_STOCK_BALANCE,2018-04,184.3822,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-94c6cb066152a45ee21d1ba764f4ead3669bb97fe533b3c26fa72246ae8783c8,artifact-r2-1cb93debfc03d42080515568e6a24cc7d4dc8441ae0e1f870ac96737c8fbc0b8
obs-pbc-456beccd7051599e7ea9de9b9b5829f845d615984c8d753fc4e396649ab20efd,MACRO_AFRE_STOCK_BALANCE,2018-04,190.02190000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-88d9a4c0ba4ff1b65234416e14cc4640ffaf72857bf3d66892eb4a6ac626c0aa,artifact-r2-160b33fb2f70a2523e3c71985fad31d75f4602b31c9f6e7f424981714859b29d
obs-pbc-c776b969e96423c382c3ce94f67f718c2733a4948be8d9b3796288a67cc1f983,MACRO_AFRE_STOCK_BALANCE,2018-04,190.4743,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-456beccd7051599e7ea9de9b9b5829f845d615984c8d753fc4e396649ab20efd,artifact-r2-0a99bf6346de3d205c569a6b435c5093323fb98b1228263a07084c2960873bb5
obs-pbc-d7d1c7d2c378a885199abc6a0589cbed94c1a53c9b1457e1066257c94514cfe9,MACRO_AFRE_STOCK_BALANCE,2018-05,185.2006,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-773645c45ecb3c5e26fc7666711e80f8a02e97ab195ae130636e5ddef2b67256,artifact-r2-02e8713bfd36392c8cf44d448216ef68d8e968660329e856ce1d392ddb9e0161
obs-pbc-88678ccf5995a09872bea942fe4df35b91194e92ed7f2f412fc1f6cb9ec038a3,MACRO_AFRE_STOCK_BALANCE,2018-05,190.94140000000002,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-d7d1c7d2c378a885199abc6a0589cbed94c1a53c9b1457e1066257c94514cfe9,artifact-r2-a6fa8d360ed8eac5aa8387754b16f9a652203df043a8a4d1525c19755f57ac7d
obs-pbc-67f24c53f676b2d6f75620d57205f56321c865f7c13f90b2a25c2df89ab52d9e,MACRO_AFRE_STOCK_BALANCE,2018-05,191.39690000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-88678ccf5995a09872bea942fe4df35b91194e92ed7f2f412fc1f6cb9ec038a3,artifact-r2-801ad42f8dde49500ef772778331c09454d0d23c4b7de643339bc96cc8501ef3
